                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4973,                 0.7566,                 1.1232,                0.87874,                0.88796,                 0.8602,                0.46181,                  1.528,                0.72708,                 1.1698,                0.07037,              0.0032922,              0.0032922
                      1,                 1.5018,                0.77665,                 1.1181,                0.89005,                0.87788,                0.88988,                0.46532,                 1.5785,                0.73414,                 1.1871,               0.040108,              0.0063631,              0.0063631
                      2,                 1.5426,                0.77994,                 1.1403,                0.88626,                0.87465,                0.87848,                0.45588,                 1.5925,                0.76789,                 1.1989,              0.0095816,              0.0091701,              0.0091701
                      3,                 1.5813,                0.85645,                 1.1452,                0.88058,                0.86056,                0.88014,                0.44399,                 1.6567,                0.78621,                 1.2245,               0.008812,               0.008812,               0.008812
                      4,                 1.6194,                0.87209,                 1.1491,                0.86054,                0.86901,                0.86699,                0.45199,                 1.6218,                0.81029,                 1.2181,               0.008812,               0.008812,               0.008812
                      5,                 1.6107,                0.89056,                 1.1613,                0.87223,                0.86531,                0.87006,                0.45259,                 1.5911,                0.80214,                 1.2049,               0.008416,               0.008416,               0.008416
                      6,                 1.5925,                0.83086,                 1.1516,                0.86459,                 0.8543,                0.86063,                0.44742,                 1.5879,                0.81755,                 1.2093,                0.00802,                0.00802,                0.00802
                      7,                 1.5821,                0.85899,                 1.1418,                0.86672,                0.87183,                0.87231,                0.43567,                 1.6448,                0.80048,                 1.2247,               0.007624,               0.007624,               0.007624
                      8,                 1.5745,                0.86832,                 1.1548,                0.87483,                0.87746,                0.88749,                0.45086,                 1.6884,                0.79242,                  1.237,               0.007228,               0.007228,               0.007228
                      9,                 1.5792,                0.82604,                 1.1461,                0.86196,                0.83944,                0.85262,                0.41311,                   1.69,                 0.8182,                 1.2328,               0.006832,               0.006832,               0.006832
                     10,                 1.5823,                0.85323,                 1.1439,                 0.8789,                0.88451,                0.89581,                0.44946,                  1.638,                0.76198,                 1.2184,               0.006436,               0.006436,               0.006436
                     11,                 1.5655,                0.82288,                 1.1371,                0.87386,                0.88592,                0.88364,                0.45932,                 1.5854,                0.76689,                 1.1987,                0.00604,                0.00604,                0.00604
                     12,                 1.5453,                0.80698,                 1.1329,                0.87103,                0.87513,                0.88235,                0.46775,                 1.6039,                0.75007,                 1.2079,               0.005644,               0.005644,               0.005644
                     13,                  1.522,                0.79873,                  1.122,                0.86909,                0.86901,                 0.8642,                0.44342,                 1.6431,                0.75961,                 1.2147,               0.005248,               0.005248,               0.005248
                     14,                 1.5347,                 0.8014,                 1.1126,                0.85739,                0.88062,                0.87225,                0.45993,                 1.5974,                0.74316,                 1.1962,               0.004852,               0.004852,               0.004852
                     15,                 1.4586,                0.73771,                 1.1859,                0.88583,                0.87425,                0.88809,                0.46331,                 1.6473,                 0.7234,                 1.2218,               0.004456,               0.004456,               0.004456
                     16,                 1.4692,                0.72055,                 1.1678,                0.88204,                0.85915,                0.87957,                0.46097,                 1.6648,                0.75439,                 1.2258,                0.00406,                0.00406,                0.00406
                     17,                 1.4495,                0.70038,                 1.1729,                0.86049,                0.88732,                0.88098,                0.46671,                 1.6158,                0.72946,                 1.2079,               0.003664,               0.003664,               0.003664
                     18,                 1.4243,                0.68604,                 1.1523,                0.86698,                0.87606,                0.88046,                 0.4624,                 1.6338,                0.71921,                 1.2123,               0.003268,               0.003268,               0.003268
                     19,                 1.3999,                0.67205,                 1.1554,                0.86733,                0.87606,                0.87308,                0.46075,                 1.6184,                0.72632,                 1.2174,               0.002872,               0.002872,               0.002872
                     20,                 1.3687,                0.68156,                 1.1437,                0.86525,                 0.8863,                0.87229,                 0.4569,                 1.6208,                0.71457,                 1.2149,               0.002476,               0.002476,               0.002476
                     21,                 1.3898,                0.67006,                 1.1491,                0.88359,                0.88731,                0.88756,                0.46232,                 1.6062,                 0.7045,                 1.2116,                0.00208,                0.00208,                0.00208
                     22,                 1.3869,                0.65358,                 1.1414,                0.87864,                0.88718,                 0.8831,                0.46325,                 1.6342,                0.69913,                 1.2175,               0.001684,               0.001684,               0.001684
                     23,                 1.3607,                 0.6255,                  1.149,                0.86688,                0.89437,                0.88185,                0.47056,                 1.6119,                0.70524,                 1.2056,               0.001288,               0.001288,               0.001288
                     24,                 1.3339,                0.61944,                 1.1292,                0.87057,                 0.8905,                0.88434,                0.46552,                 1.6144,                0.69329,                 1.2103,               0.000892,               0.000892,               0.000892
